prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
'Cactus painting by Roy Lichtenstein',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,526803,1,True,autocast,png,,
'cactus pop art',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,459208,1,True,autocast,png,,
'neco arc anime',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,808367,1,True,autocast,png,,
'osmium human',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,588534,1,True,autocast,png,,
'Hulk ass clap',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,234078,1,True,autocast,png,,
'aqua teen hunger force',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,111642,1,True,autocast,png,,
'poop in toilet',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,574945,1,True,autocast,png,,
'the indifferent cruelty of the universe',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,346286,1,True,autocast,png,,
'cheddar goldfish snack crackers',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,970878,1,True,autocast,png,,
'the fifth member of the beatles',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,134761,1,True,autocast,png,,
'the fifth member of the beatles',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,384982,1,True,autocast,png,,
'the fifth member of the beatles',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,761760,1,True,autocast,png,,
'the fifth member of the beatles',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,977508,1,True,autocast,png,,
'the fifth member of the beatles',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,380952,1,True,autocast,png,,
'jerma shoving a baseball up his ass',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,540064,1,True,autocast,png,,
'among us imposter invades the white house',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,532115,1,True,autocast,png,,
'pickle friend at a birthday party',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,142518,1,True,autocast,png,,
'an octagonal human casues a traffic accident',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,267796,1,True,autocast,png,,
'big papa pickle cartoon',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,297941,1,True,autocast,png,,
'Jason deflates gas ballon',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,461889,1,True,autocast,png,,
'william rubbing gene's big belly',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,628574,1,True,autocast,png,,
'price william's balding head',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,774611,1,True,autocast,png,,
'pov shot of prince william's balding head',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,484829,1,True,autocast,png,,
'soulja boy inside of a gameboy',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,697838,1,True,autocast,png,,
'Elon Musk as Crazy Frog',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,954566,1,True,autocast,png,,
'Crazy Frog controlling the minds of children',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,338743,1,True,autocast,png,,
'the most popular car of the 1970s',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,186658,1,True,autocast,png,,
'the least popular car of the 1970s',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,723906,1,True,autocast,png,,
'unreleased huey lewis and the news album',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,420512,1,True,autocast,png,,
'jim carrey as the mask',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,229257,1,True,autocast,png,,
'Beavis and Butt-Head being silly',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,184379,1,True,autocast,png,,
'Beavis and Butt-Head being silly',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,881480,1,True,autocast,png,,
'Mordecai and Rigby being silly',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,429972,1,True,autocast,png,,
'spongebob and Patrick being silly',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,859393,1,True,autocast,png,,
'The worst meal I have ever seen',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,857109,1,True,autocast,png,,
'the worst house',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,632248,1,True,autocast,png,,
'brand new minion nft',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,460191,1,True,autocast,png,,
'minion bored ape nft',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,63046,1,True,autocast,png,,
'bored ape nft please dont screenshot',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,431172,1,True,autocast,png,,
'please help me',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,377363,1,True,autocast,png,,
'the red spy is in the base',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,33179,1,True,autocast,png,,
'an AI begging for help',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,581958,1,True,autocast,png,,
'William making a clutch joke and everyone is laughing :)',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,282507,1,True,autocast,png,,
'an AI begging for help',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,813471,1,True,autocast,png,,
'smiley face :)',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,423096,1,True,autocast,png,,
':)',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,941381,1,True,autocast,png,,
'smiley face realistic',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,244043,1,True,autocast,png,,
'pingas sonic cartoon',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,841309,1,True,autocast,png,,
'ᕦ(ò_óˇ)',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,179753,1,True,autocast,png,,
'💪',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,320513,1,True,autocast,png,,
'💪',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,998310,1,True,autocast,png,,
'🐱',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,822861,1,True,autocast,png,,
'💪',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,463665,1,True,autocast,png,,
'flexing emoji sunglasses emoji 🖕',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,101810,1,True,autocast,png,,
'📀',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,877446,1,True,autocast,png,,
'giant annandale blonde wearing a lime green shirt and blue pants',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,132375,1,True,autocast,png,,
'trump wine Oops! all poison',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,102957,1,True,autocast,png,,
'a large bottle of trump wine',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,654157,1,True,autocast,png,,
'trump gaming mouse',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,147342,1,True,autocast,png,,
'trump gets juiced and turned into wine',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,521200,1,True,autocast,png,,
'jar of commemerative trump coins',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,654566,1,True,autocast,png,,
'jar of commemerative trump pickles',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,428501,1,True,autocast,png,,
'penis',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,992857,1,True,autocast,png,,
'trump suspended in pickle jar stasis',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,637974,1,True,autocast,png,,
'walt disney head in futurama',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,774377,1,True,autocast,png,,
'lenny from the simpsons evil',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,116494,1,True,autocast,png,,
'William Moody',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,988646,1,True,autocast,png,,
'prince william american',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,576770,1,True,autocast,png,,
'www.google.com',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,453074,1,True,autocast,png,,
'youtube.com',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,227953,1,True,autocast,png,,
'youtube poop',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,143756,1,True,autocast,png,,
'trump making a silly face',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,107835,1,True,autocast,png,,
'can of trump soup',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,358232,1,True,autocast,png,,
'trump soup sandwich combo',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,829136,1,True,autocast,png,,
'olga smiling',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,56336,1,True,autocast,png,,
